Timestamp	Speed	Precision	Recall	F1_Score	Ious	Positives	False_Positives	Negatives	Num_Of_Faces	Predicted	Ground_Truth
2022-04-15T19:48:58.077641	901900500	1.0	1.0	1.0	[0.8154292343387471, 0.7578603511637403, 0.8582974137931034, 0.8482279124978803, 0.8119232188999631, 0.8541264615733909, 0.8434504792332268, 0.8923076923076924]	8	0	0	8	[(778.0, 190.0, 857.0, 289.0), (603.0, 323.0, 672.0, 410.0), (715.0, 230.0, 779.0, 317.0), (906.0, 336.0, 970.0, 422.0), (337.0, 391.0, 400.0, 477.0), (181.0, 145.0, 259.0, 244.0), (301.0, 158.0, 374.0, 246.0), (520.0, 36.0, 580.0, 114.0)]	[(909.0, 335.0, 974.0, 418.0), (786.0, 187.0, 862.0, 290.0), (718.0, 230.0, 777.0, 311.0), (595.0, 314.0, 667.0, 410.0), (342.0, 391.0, 395.0, 474.0), (302.0, 152.0, 368.0, 247.0), (178.0, 135.0, 257.0, 244.0), (522.0, 41.0, 580.0, 113.0)]
2022-04-15T19:49:00.180141	2098321800	0.0	0.0	0.0	[]	0	0	1	1	[]	[(547.0, 1228.0, 688.0, 1333.0)]
2022-04-15T19:49:01.012641	826702300	1.0	1.0	1.0	[0.8438381937911571, 0.7669295621430514]	2	0	0	2	[(460.0, 41.0, 500.0, 93.0), (555.0, 113.0, 602.0, 174.0)]	[(459.0, 45.0, 499.0, 91.0), (551.0, 107.0, 606.0, 173.0)]
2022-04-15T19:49:01.952642	829411500	1.0	0.14516129032258066	0.2535211267605634	[0.7743362831858407, 0.7935180345007841, 0.7388059701492538, 0.6878901373283396, 0.765625, 0.7384615384615385, 0.755868544600939, 0.75, 0.7531969309462916]	9	0	53	62	[(256.0, 496.0, 297.0, 546.0), (58.0, 494.0, 96.0, 540.0), (401.0, 403.0, 421.0, 428.0), (791.0, 411.0, 815.0, 442.0), (66.0, 426.0, 99.0, 470.0), (193.0, 412.0, 217.0, 442.0), (253.0, 406.0, 279.0, 437.0), (101.0, 394.0, 128.0, 426.0), (289.0, 429.0, 323.0, 475.0)]	[(82.0, 278.0, 90.0, 287.0), (96.0, 272.0, 106.0, 289.0), (85.0, 310.0, 95.0, 321.0), (116.0, 348.0, 127.0, 364.0), (157.0, 321.0, 168.0, 337.0), (173.0, 347.0, 189.0, 365.0), (207.0, 309.0, 221.0, 330.0), (266.0, 348.0, 281.0, 368.0), (213.0, 352.0, 227.0, 368.0), (132.0, 304.0, 144.0, 317.0), (98.0, 351.0, 118.0, 372.0), (157.0, 284.0, 169.0, 300.0), (177.0, 309.0, 191.0, 323.0), (47.0, 344.0, 59.0, 360.0), (355.0, 295.0, 365.0, 305.0), (390.0, 304.0, 400.0, 317.0), (339.0, 323.0, 351.0, 334.0), (311.0, 293.0, 320.0, 306.0), (386.0, 368.0, 404.0, 392.0), (399.0, 351.0, 411.0, 367.0), (350.0, 364.0, 363.0, 381.0), (295.0, 321.0, 309.0, 342.0), (292.0, 359.0, 314.0, 388.0), (256.0, 404.0, 279.0, 434.0), (402.0, 401.0, 420.0, 425.0), (388.0, 288.0, 395.0, 297.0), (300.0, 266.0, 313.0, 279.0), (277.0, 263.0, 288.0, 275.0), (420.0, 293.0, 433.0, 309.0), (437.0, 355.0, 449.0, 372.0), (439.0, 309.0, 450.0, 325.0), (472.0, 284.0, 481.0, 293.0), (454.0, 278.0, 464.0, 292.0), (711.0, 297.0, 721.0, 309.0), (760.0, 351.0, 778.0, 376.0), (786.0, 347.0, 800.0, 368.0), (825.0, 285.0, 836.0, 300.0), (847.0, 297.0, 861.0, 314.0), (772.0, 300.0, 786.0, 314.0), (796.0, 289.0, 807.0, 304.0), (855.0, 330.0, 872.0, 350.0), (687.0, 303.0, 701.0, 313.0), (743.0, 288.0, 752.0, 301.0), (741.0, 329.0, 755.0, 343.0), (920.0, 292.0, 933.0, 306.0), (899.0, 300.0, 910.0, 313.0), (921.0, 347.0, 941.0, 369.0), (795.0, 408.0, 814.0, 440.0), (886.0, 439.0, 908.0, 486.0), (934.0, 423.0, 953.0, 443.0), (842.0, 373.0, 862.0, 400.0), (67.0, 423.0, 95.0, 468.0), (149.0, 417.0, 179.0, 450.0), (101.0, 390.0, 128.0, 421.0), (63.0, 491.0, 96.0, 542.0), (257.0, 492.0, 292.0, 548.0), (290.0, 431.0, 321.0, 469.0), (726.0, 396.0, 739.0, 416.0), (361.0, 417.0, 385.0, 449.0), (415.0, 449.0, 440.0, 487.0), (212.0, 380.0, 228.0, 407.0), (192.0, 409.0, 217.0, 448.0)]
2022-04-15T19:49:02.810141	839115900	1.0	1.0	1.0	[0.9147646219686163, 0.8268525311812179, 0.9022746419545071, 0.7791777188328912, 0.8202173197234113, 0.6976744186046512, 0.9076558800315706, 0.8403626330311391]	8	0	0	8	[(272.0, 67.0, 317.0, 126.0), (789.0, 61.0, 836.0, 119.0), (491.0, 86.0, 535.0, 139.0), (197.0, 75.0, 249.0, 133.0), (105.0, 82.0, 154.0, 138.0), (718.0, 61.0, 761.0, 112.0), (412.0, 86.0, 458.0, 140.0), (571.0, 68.0, 614.0, 127.0)]	[(104.0, 77.0, 152.0, 135.0), (199.0, 78.0, 246.0, 128.0), (272.0, 69.0, 318.0, 128.0), (411.0, 88.0, 458.0, 138.0), (491.0, 88.0, 533.0, 140.0), (572.0, 75.0, 613.0, 127.0), (723.0, 67.0, 757.0, 112.0), (789.0, 69.0, 835.0, 118.0)]
2022-04-15T19:49:03.840141	1014993700	1.0	0.2222222222222222	0.3636363636363636	[0.6766917293233082, 0.8571428571428571]	2	0	7	9	[(537.0, 744.0, 551.0, 761.0), (582.0, 745.0, 596.0, 762.0)]	[(439.0, 518.0, 465.0, 560.0), (493.0, 621.0, 507.0, 638.0), (539.0, 743.0, 552.0, 759.0), (583.0, 745.0, 595.0, 762.0), (809.0, 711.0, 829.0, 740.0), (710.0, 766.0, 724.0, 781.0), (700.0, 752.0, 716.0, 762.0), (59.0, 671.0, 73.0, 688.0), (476.0, 719.0, 486.0, 733.0)]
2022-04-15T19:49:04.727642	845425000	1.0	0.6666666666666666	0.8	[0.8366013071895425, 0.8969907407407407, 0.9444444444444444, 0.5956057007125891, 0.7376330619912336, 0.7879828326180257, 0.88, 0.7021276595744681, 0.7860262008733624, 0.5046549835706462, 0.7112068965517241, 0.6842105263157895]	12	0	6	18	[(459.0, 274.0, 486.0, 308.0), (554.0, 280.0, 581.0, 312.0), (648.0, 290.0, 676.0, 326.0), (139.0, 361.0, 186.0, 423.0), (250.0, 307.0, 282.0, 354.0), (736.0, 335.0, 764.0, 369.0), (402.0, 279.0, 426.0, 312.0), (600.0, 227.0, 609.0, 239.0), (731.0, 289.0, 761.0, 333.0), (927.0, 559.0, 1049.0, 704.0), (416.0, 353.0, 455.0, 404.0), (368.0, 309.0, 404.0, 357.0)]	[(823.0, 342.0, 852.0, 385.0), (768.0, 334.0, 797.0, 371.0), (737.0, 331.0, 766.0, 370.0), (731.0, 287.0, 758.0, 329.0), (648.0, 292.0, 676.0, 326.0), (921.0, 588.0, 1024.0, 683.0), (599.0, 228.0, 610.0, 240.0), (559.0, 228.0, 566.0, 241.0), (555.0, 280.0, 580.0, 311.0), (462.0, 276.0, 486.0, 308.0), (402.0, 277.0, 427.0, 313.0), (373.0, 311.0, 405.0, 350.0), (250.0, 304.0, 281.0, 345.0), (200.0, 485.0, 269.0, 554.0), (132.0, 364.0, 173.0, 424.0), (416.0, 350.0, 449.0, 398.0), (775.0, 10.0, 787.0, 22.0), (670.0, 10.0, 681.0, 24.0)]
2022-04-15T19:49:05.633143	894149900	1.0	1.0	1.0	[0.8711304746617748, 0.7702702702702703, 0.8914903196758217, 0.6056338028169014]	4	0	0	4	[(247.0, 95.0, 383.0, 269.0), (818.0, 67.0, 861.0, 121.0), (670.0, 76.0, 708.0, 133.0), (962.0, 77.0, 992.0, 123.0)]	[(242.0, 85.0, 378.0, 271.0), (672.0, 78.0, 709.0, 133.0), (820.0, 59.0, 858.0, 122.0), (960.0, 69.0, 1000.0, 120.0)]
2022-04-15T19:49:06.496641	811741600	0.9230769230769231	0.46153846153846156	0.6153846153846155	[0.6502463054187192, 0.8183035714285715, 0.5218476903870163, 0.7343608340888486, 0.7563025210084033, 0.6875, 0.5986842105263158, 0.6923076923076923, 0.90625, 0.5717329545454546, 0.6440588853838065, 0.4421052631578947, 0.5432098765432098]	12	1	14	26	[(70.0, 517.0, 114.0, 569.0), (930.0, 513.0, 969.0, 562.0), (613.0, 503.0, 636.0, 530.0), (913.0, 371.0, 941.0, 405.0), (130.0, 490.0, 145.0, 508.0), (797.0, 422.0, 832.0, 470.0), (73.0, 456.0, 87.0, 474.0), (951.0, 372.0, 969.0, 396.0), (650.0, 501.0, 679.0, 536.0), (164.0, 506.0, 206.0, 559.0), (180.0, 548.0, 230.0, 607.0), (170.0, 386.0, 180.0, 398.0), (854.0, 380.0, 867.0, 397.0)]	[(914.0, 375.0, 945.0, 406.0), (950.0, 377.0, 970.0, 395.0), (797.0, 431.0, 830.0, 466.0), (824.0, 402.0, 847.0, 426.0), (855.0, 383.0, 869.0, 394.0), (818.0, 359.0, 830.0, 374.0), (924.0, 514.0, 970.0, 561.0), (885.0, 579.0, 964.0, 670.0), (647.0, 501.0, 679.0, 536.0), (617.0, 508.0, 640.0, 534.0), (177.0, 558.0, 233.0, 617.0), (64.0, 526.0, 117.0, 565.0), (128.0, 487.0, 145.0, 508.0), (71.0, 460.0, 89.0, 473.0), (166.0, 384.0, 177.0, 398.0), (44.0, 424.0, 54.0, 438.0), (171.0, 513.0, 211.0, 568.0), (332.0, 560.0, 375.0, 598.0), (866.0, 364.0, 878.0, 377.0), (885.0, 356.0, 892.0, 366.0), (796.0, 372.0, 808.0, 383.0), (982.0, 357.0, 989.0, 366.0), (153.0, 400.0, 160.0, 411.0), (119.0, 406.0, 128.0, 416.0), (5.0, 397.0, 14.0, 409.0), (0.0, 525.0, 22.0, 550.0)]
2022-04-15T19:49:08.271642	1766967600	0.6666666666666666	0.6666666666666666	0.6666666666666666	[0.8570170472416179, 0.7147892720306513, 0.43870967741935485]	2	1	1	3	[(324.0, 799.0, 428.0, 938.0), (631.0, 880.0, 738.0, 1021.0), (542.0, 893.0, 630.0, 989.0)]	[(316.0, 800.0, 431.0, 931.0), (617.0, 858.0, 737.0, 1012.0), (562.0, 842.0, 642.0, 1004.0)]
